"F1","F2","filename","Method"
0.0800097476788859,0.0958350970835949,"Dye..Retain","Tensor"
0.250681058381056,0.220071856658278,"Dye..Retain","Linear_Multi"
0.0934811334862024,0.0974252682692069,"Dye..Retain","LDA"
0.174702454142527,0.16283340022356,"Dye..Retain","Interpolation"
0.13873829183877,0.150427134803245,"Dye..Retain","Averaging"
0.131193340181852,0.139309133693048,"Dye..Retain","SeamlessStitching"
0.131193974290708,0.134098109269067,"Dye..Retain","Original"
0.0358388174458601,0.0382054536254195,"Brain..Retain","LDA"
0.195825664502089,0.193816638579025,"Brain..Retain","Interpolation"
0.187367355212903,0.193815721054828,"Brain..Retain","Averaging"
0.141781094989436,0.139076775574755,"Brain..Retain","SeamlessStitching"
0.155571959730029,0.14826906819202,"Brain..Retain","Original"
0.0737120978176671,0.0738233355144481,"Brain..Retain","Tensor"
0.209903010302016,0.212993007459505,"Brain..Retain","Linear_Multi"
0.154009509240887,0.148385218318545,"Polymer..Retain","Averaging"
0.078226259855279,0.104950043107578,"Polymer..Retain","SeamlessStitching"
0.166776323366624,0.14838491083967,"Polymer..Retain","Original"
0.178144501922917,0.188358674513397,"Polymer..Retain","Tensor"
0.199138629625087,0.204722834649159,"Polymer..Retain","Linear_Multi"
0.124336379791529,0.101814073129216,"Polymer..Retain","LDA"
0.0993683961976769,0.103384245442435,"Polymer..Retain","Interpolation"
0.225832805591969,0.178384217590161,"Resistor..Retain","Original"
0.0936047638322714,0.106171856980846,"Resistor..Retain","Tensor"
0.215957565514068,0.173332701360841,"Resistor..Retain","Linear_Multi"
0.0626725880478653,0.0708636450828838,"Resistor..Retain","LDA"
0.167221933172555,0.168535833163834,"Resistor..Retain","Interpolation"
0.139027260248403,0.15334506588871,"Resistor..Retain","Averaging"
0.0956830835928683,0.149366679932724,"Resistor..Retain","SeamlessStitching"
0.301392881062528,0.316891315946496,"Dye..Remove","Linear_Multi"
0.0968476026458415,0.106854582118513,"Dye..Remove","LDA"
0.116043436436793,0.100692577847915,"Dye..Remove","Interpolation"
0.0955915199978561,0.113256629110704,"Dye..Remove","Averaging"
0.210441364697623,0.189101458144539,"Dye..Remove","SeamlessStitching"
0.0758059368233096,0.0799871622963052,"Dye..Remove","Original"
0.103877258336048,0.093216274535528,"Dye..Remove","Tensor"
0.133037439718352,0.147100128299929,"Brain..Remove","Interpolation"
0.154870161388571,0.155035292591005,"Brain..Remove","Averaging"
0.256063108748797,0.201432301057666,"Brain..Remove","SeamlessStitching"
0.101785446302103,0.127384267630816,"Brain..Remove","Original"
0.139624939680456,0.134280843649043,"Brain..Remove","Tensor"
0.167038332225383,0.168135093919458,"Brain..Remove","Linear_Multi"
0.0475805719363379,0.0666320728520829,"Brain..Remove","LDA"
0.168599069820078,0.131127882208895,"Polymer..Remove","SeamlessStitching"
0.10134700476252,0.108814952583047,"Polymer..Remove","Original"
0.166452748440629,0.155023907777192,"Polymer..Remove","Tensor"
0.232729385911609,0.244578296111578,"Polymer..Remove","Linear_Multi"
0.0581145205402498,0.0618537638312472,"Polymer..Remove","LDA"
0.104157089618039,0.129320054381564,"Polymer..Remove","Interpolation"
0.168600180906876,0.169281143106476,"Polymer..Remove","Averaging"
0.151402259601283,0.137803186411076,"Resistor..Remove","Tensor"
0.184148490858951,0.178156522940703,"Resistor..Remove","Linear_Multi"
0.121577832394535,0.125282671287551,"Resistor..Remove","LDA"
0.132751313803419,0.119234118966898,"Resistor..Remove","Interpolation"
0.143193944828543,0.133016113924395,"Resistor..Remove","Averaging"
0.173815474371183,0.17349124439191,"Resistor..Remove","SeamlessStitching"
0.0931106841420869,0.133016142077467,"Resistor..Remove","Original"
